Qtd;Referencias;Valor;Descricao
4;C1 C2 C3 C6;100nF;Capacitor ceramico 100 nF 50 V, passo 2,5 mm
2;C4 C5;10nF;Capacitor ceramico 10 nF 50 V, passo 2,5 mm
1;C10;470uF 35V;Capacitor eletrolitico 470 uF 35 V, 10 mm de diametro, passo 5 mm (105 C)
1;D1;1N5822;Diodo Schottky 1N5822 3 A 40 V (DO-201AD) - polaridade 24 V
1;D3;LED 24V;"LED 5 mm (qualquer cor) - indica 24 V; o de 3 mm usa os mesmos furos"
1;D2;P6KE30A;TVS P6KE30A unidirecional (DO-15) - protecao 24 V
1;J5;24V;Borne parafuso 2 vias passo 5,08 mm, VERDE (KF301-2P / MKDS 1,5)
1;J4;DM556;Conector JST XH 4 vias 2,5 mm, vertical (B4B-XH-A + femea XHP-4 + 4 terminais): 5V, PUL-, DIR-, ENA-
1;J7;FAN 24V;Conector JST XH 2 vias 2,5 mm, vertical (B2B-XH-A + femea XHP-2 + 2 terminais)
1;J1;FIM1;Conector JST XH 2 vias 2,5 mm, vertical (B2B-XH-A + femea XHP-2 + 2 terminais)
1;J2;FIM2;Conector JST XH 2 vias 2,5 mm, vertical (B2B-XH-A + femea XHP-2 + 2 terminais)
1;J6;MOTOR;Borne parafuso KF128 (KRE) AZUL, 4 vias = 2 x 2 vias encaixados, passo 5,0/5,08 mm
1;J3;NTC;Conector JST XH 2 vias 2,5 mm, vertical (B2B-XH-A + femea XHP-2 + 2 terminais)
1;JU;UART;Barra de pinos macho 1x2 2,54 mm + 1 jumper (fechado = UART do TMC2209 no GP5)
1;R3;100k;Resistor 1/4 W 5%, deitado, furos a 10,16 mm
8;R4 R5 R6 R7 R11 R12 R13 R14;10k;Resistor 1/4 W 5%, deitado, furos a 10,16 mm
2;R2 R8;1k;Resistor 1/4 W 5%, deitado, furos a 10,16 mm
1;R9;47k;Resistor 1/4 W 5%, deitado, furos a 10,16 mm
1;R10;5k6;Resistor 1/4 W 5%, deitado, furos a 10,16 mm
1;U2;74ACT245;SN74ACT245N DIP-20 (74HCT245N tambem serve), vai no soquete DIP-20
1;U1;RP2040-Zero;Waveshare RP2040-Zero
1;U4;TMC2209;Modulo TMC2209 StepStick (so no no com NEMA17)
1;ZM;MICROPASSO;Barra de pinos macho 2x3 2,54 mm + 3 jumpers
2;-;Barra fêmea 1x9 2,54 mm;Soquete do RP2040-Zero
2;-;Barra fêmea 1x8 2,54 mm;Soquete do TMC2209
1;-;Soquete DIP-20 300 mil (7,62 mm);Para o 74ACT245 (U2): o soquete e soldado, o CI encaixa
4;H1-H4;Parafuso M3 + espaçador;Fixação
1;-;NTC 100k B3950 (com fio);Temperatura do motor, vai no J3
2;-;Chave fim de curso (NA ou NF);Vão no J1/J2 (ligam o pino ao GND)
